ObjectID,Year,Date,Time,Date and Time,number_obs,Observer(s),Wetland Number,Days Since Rain,Maximum Depth (m),Sky Code,Water Clarity,Total Search Time (minutes),Species 1,Species 1 Number of Egg Masses,Species 2,Species 2 Number of Egg Masses,Species 3,Species 3 Number of Egg Masses,Species 4,Species 4 Number of Egg Masses,Species 5,Species 5 Number of Egg Masses,Species Calling,Notes
64,2023,2/16/23,NA,NA,2,"mnz, jmh",15,5,0,2,0,6:32,Rana Sphenocephala,1,,,,,,,,,Pseudacris_nigrita,"RASPH egg mass at 22.0cm, PSNIG calling"
65,2023,2/16/23,NA,NA,2,"mnz, jmh",51,5,0.66,2,0,27:07:00,Rana Sphenocephala,1,,,,,,,,,"Acris_gryllus,Pseudacris_nigrita","2 RASPH masses observed previously still present, 1 DERET yearling observed"
66,2023,2/21/23,NA,NA,3,"mnz, jmh, jas",55,4,0.4,2,0,29:37:00,Rana Sphenocephala,1,,,,,,,,,Nothing_heard_calling,"1 RASPH egg mass at 10.0cm, unknown ambystoma egg masses, nerodia obs. "
67,2023,2/21/23,NA,NA,3,"mnz, jmh, jas",50,4,0.62,2,0,9:58,Rana Sphenocephala,1,,,,,,,,,Nothing_heard_calling,"1 new RASPH egg mass at 17.5cm, unknown ambystoma egg masses"
68,2023,2/21/23,NA,NA,3,"mnz, jmh, jas",49,4,1,2,3,4:10,0,,,,,,,,,,Nothing_heard_calling,water very muddy
69,2023,2/21/23,NA,NA,3,"mnz, jmh, jas",46,4,0.75,2,0,8:22,Rana Sphenocephala,1,,,,,,,,,Nothing_heard_calling,RASPH egg mass observed at 20.0cm
70,2023,2/21/23,NA,NA,3,"mnz, jmh, jas",42,4,0.42,2,0,16:12,Rana Sphenocephala,2,,,,,,,,,Nothing_heard_calling,2 RASPH egg mass observed at 8.0cm. Unknown ambystoma egg masses. ACGRY observed.
71,2023,2/21/23,NA,NA,4,"mnz, jmh, jas, lls",15,4,0,2,0,3:00,0,,,,,,,,,,Nothing_heard_calling,Water only a few inches deep and impounded in ~15ft diameter circle
72,2023,2/21/23,NA,NA,4,"mnz, jmh, jas, lls",53,4,0.4,2,0,16:26,Genus Ambystoma,1,Pseudacris nigrita,1,,,,,,,Nothing_heard_calling,FARBA observed. Salamander and pseudacris egg masses
73,2023,2/21/23,NA,NA,4,"mnz, jmh, jas, lls",51,4,0.64,2,0,19:12,0,,,,,,,,,,Pseudacris_nigrita,"PSNIG calling. Salamander larva, AGRY + PSORN tadpoles observed"
74,2023,2/23/23,NA,NA,3,"mnz, jmh, lls",53,6,0.39,2,0,17:03,Genus Ambystoma,1,,,,,,,,,Nothing_heard_calling,Salamander larva and egg mass observed
75,2023,2/23/23,NA,NA,3,"mnz, jmh, lls",15,6,0,2,0,4:55,0,,,,,,,,,,Nothing_heard_calling,"PSORN, PSNIG, RANID tadpoles. Water dropped to ~10 ft diameter circle"
76,2023,2/23/23,NA,NA,3,"mnz, jmh, lls",42,6,0.4,2,0,12:18,Genus Ambystoma,1,,,,,,,,,Nothing_heard_calling,Salamander egg mass and 2 Nerodia observed
77,2023,2/23/23,NA,NA,3,"mnz, jmh, lls",51,6,0.66,2,0,19:27,Rana Sphenocephala,1,Pseudacris nigrita,1,,,,,,,Pseudacris_nigrita,"RASPH and PSNIG egg masses observed. PSNIG calling. KISUB observed. PSORN, PSNIG, Ranid tadpoles obeserved. "
78,2023,2/24/23,NA,NA,2,"mnz, jmh",46,7,0.73,1,0,11:27,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
79,2023,2/24/23,NA,NA,2,"mnz, jmh",49,7,1,2,3,14:50,Rana Sphenocephala,1,,,,,,,,,Hyla_femoralis,Unknown Ranid egg mass. Possible HYFEM calling. 1 NEFAS observed. Water muddy
80,2023,2/24/23,NA,NA,2,"mnz, jmh",50,7,0.6,2,0,10:46,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
81,2023,2/24/23,NA,NA,2,"mnz, jmh",55,7,0.39,1,0,24:35:00,Rana Sphenocephala,1,,,,,,,,,Acris_gryllus,RASPH egg mass observed at 4.0cm. 2 NEFAS observed. ACGRY calling.
82,2023,2/28/23,NA,NA,2,"lls, jas",55,11,0.37,1,0,20:26,0,,,,,,,,,,Nothing_heard_calling,PSSP and RASPH tadpoles observed
83,2023,2/28/23,NA,NA,2,"lls, jas",50,11,0.46,1,0,12:55,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
84,2023,2/28/23,NA,NA,2,"lls, jas",49,11,NA,1,3,12:01,0,,,,,,,,,,Nothing_heard_calling,Turtle (no ID observed). Water muddy with low visibility
85,2023,2/28/23,NA,NA,2,"lls, jas",46,11,0.69,1,0,13:46,0,,,,,,,,,,Nothing_heard_calling,ACGRY calling. PSSP tadpoles observed
86,2023,2/28/23,NA,NA,3,"mnz, jmh, jra",53,11,0.34,0,0,13:54,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
87,2023,2/28/23,NA,NA,3,"mnz, jmh, jra",15,11,0,3,0,1:00,0,,,,,,,,,,Nothing_heard_calling,Smoke from prescribed burn. Water very low. Diameter ~0.5m and only a few inches deep
88,2023,2/28/23,NA,NA,3,"mnz, jmh, jra",51,11,0.64,0,0,16:04,0,,,,,,,,,,Nothing_heard_calling,Pollen on water surface reduced visibility
89,2023,2/28/23,NA,NA,3,"mnz, jmh, jra",42,11,0.39,0,0,6:08,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
90,2023,3/2/23,NA,NA,3,"jas, jra, lls",53,13,0.44,2,0,11:03,0,,,,,,,,,,Nothing_heard_calling,"Pssp tadpoles, AMTIG larvals observed"
91,2023,3/2/23,NA,NA,3,"jas, jra, lls",51,13,0.63,2,3,14:10,0,,,,,,,,,,Nothing_heard_calling,Pssp tadpoles observed
92,2023,3/2/23,NA,NA,3,"jas, jra, lls",55,13,0.36,2,3,11:15,0,,,,,,,,,,Nothing_heard_calling,3 Nerodia observed
93,2023,3/2/23,NA,NA,3,"jas, jra, lls",50,13,0.43,2,0,7:27,0,,,,,,,,,,Nothing_heard_calling,unknown tadpoles observed
94,2023,3/2/23,NA,NA,3,"jas, jra, lls",49,13,1.1,2,3,12:30,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
95,2023,3/2/23,NA,NA,3,"jas, jra, lls",46,13,0.67,2,0,6:42,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
96,2023,3/2/23,NA,NA,3,"jas, jra, lls",42,13,0.36,2,3,2:36,0,,,,,,,,,,Nothing_heard_calling,Lots of hog damage
97,2023,3/7/23,NA,NA,4,"jas, jmh, jra, mnz",55,18,0.34,2,3,11:34,0,,,,,,,,,,Nothing_heard_calling,Pssp tadpoles and marsh rabbit observed
98,2023,3/7/23,NA,NA,4,"jas, jmh, jra, mnz",50,18,0.44,2,0,2:18,0,,,,,,,,,,Nothing_heard_calling,"PSORN, PSNIG, AMTIG larva observed"
99,2023,3/7/23,NA,NA,1,jas,49,18,1.1,2,3,8:24,0,,,,,,,,,,Nothing_heard_calling,2 small turtles observed
100,2023,3/7/23,NA,NA,1,jas,46,18,0.59,2,0,9:27,0,,,,,,,,,,Nothing_heard_calling,"ACGRY adult, PSORN tadpoles, and unknown Nerodia observed"
101,2023,3/7/23,NA,NA,1,jas,42,18,0.32,0,3,5:32,0,,,,,,,,,,Nothing_heard_calling,Wetland ~15m diameter. Fish observed and juvenile Nerodia.
102,2023,3/7/23,NA,NA,1,jas,53,18,0.28,0,0,14:25,0,,,,,,,,,,Nothing_heard_calling,PSORN tadpoles observed
103,2023,3/7/23,NA,NA,1,jas,51,18,0.6,2,0,20:37,0,,,,,,,,,,Nothing_heard_calling,PSORN and AMTIG larva observed
104,2023,3/9/23,NA,NA,3,"jas, jra, mnz",53,20,0.25,2,0,4:38,0,,,,,,,,,,Nothing_heard_calling,RASPH tadpoles observed
105,2023,3/9/23,NA,NA,3,"jas, jra, mnz",51,20,0.59,2,0,12:15,0,,,,,,,,,,Nothing_heard_calling,"PSORN tadpoles, AMTIG larva, dead hatchling chicken turtle observed"
106,2023,3/9/23,NA,NA,3,"jas, jra, mnz",55,20,0.32,2,3,6:48,0,,,,,,,,,,Nothing_heard_calling,1 unknown tadpole
107,2023,3/9/23,NA,NA,3,"jas, jra, mnz",50,20,0.4,2,0,2:25,0,,,,,,,,,,Nothing_heard_calling,PSNIG and RASPH tadpoles obvserved
108,2023,3/9/23,NA,NA,3,"jas, jra, mnz",49,20,1,2,3,3:39,0,,,,,,,,,,Nothing_heard_calling,"1 unknown hatchling turtle, 1 unknown tadpole observed"
109,2023,3/9/23,NA,NA,3,"jas, jra, mnz",46,20,0.55,2,0,4:47,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
110,2023,3/9/23,NA,NA,3,"jas, jra, mnz",42,20,0.3,2,3,2:20,0,,,,,,,,,,Nothing_heard_calling,1 NEFAS observed
111,2023,3/14/23,NA,NA,3,"jas, jra, mnz",53,2,0.28,0,0,4:25,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling, water clear."
112,2023,3/14/23,NA,NA,3,"jas, jra, mnz",51,2,0.63,0,0,14:08,0,,,,,,,,,,Nothing_heard_calling,"1 hatchling chicken turtle, unknown tadpoles observed"
113,2023,3/14/23,NA,NA,3,"jas, jra, mnz",55,2,0.37,0,3,9:05,0,,,,,,,,,,Nothing_heard_calling,Marsh rabbit observed
114,2023,3/14/23,NA,NA,3,"jas, jra, mnz",50,2,0.47,0,0,4:10,0,,,,,,,,,,Nothing_heard_calling,PSORN and RASPH tadpoles observed
115,2023,3/14/23,NA,NA,3,"jas, jra, mnz",49,2,1.2,0,3,3:30,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
116,2023,3/14/23,NA,NA,3,"jas, jra, mnz",46,2,0.65,0,0,2:35,0,,,,,,,,,,Nothing_heard_calling,PSNIG tadpoles observed
117,2023,3/14/23,NA,NA,3,"jas, jra, mnz",42,2,0.36,0,3,4:50,0,,,,,,,,,,Nothing_heard_calling,"small fish, dead juv NEFAS, RASPH tadpoles observed"
118,2023,3/16/23,NA,NA,3,"jas, jra, lls",53,4,0.26,0,0,3:40,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
119,2023,3/16/23,NA,NA,3,"jas, jra, lls",51,4,0.62,0,0,12:00,0,,,,,,,,,,Nothing_heard_calling,1 unknown tadpole
120,2023,3/16/23,NA,NA,3,"jas, jra, lls",55,4,0.36,3,1,8:03,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
121,2023,3/16/23,NA,NA,3,"jas, jra, lls",50,4,0.46,0,0,1:40,0,,,,,,,,,,Nothing_heard_calling,RASPH and PSSP tadpoles observed
122,2023,3/16/23,NA,NA,3,"jas, jra, lls",49,4,1,0,3,4:04,0,,,,,,,,,,Nothing_heard_calling,PSSP tadpoles observed
123,2023,3/16/23,NA,NA,3,"jas, jra, lls",46,4,0.63,0,0,3:15,0,,,,,,,,,,Nothing_heard_calling,2 unknown tadpoles observed
124,2023,3/16/23,NA,NA,3,"jas, jra, lls",42,4,0.34,0,3,5:45,0,,,,,,,,,,Nothing_heard_calling,RASPH tadpoles
125,2023,3/21/23,NA,NA,3,"jas, jra, mnz",53,4,0.31,0,0,5:35,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling. Cold, frost on vegetation in water"
126,2023,3/21/23,NA,NA,3,"jas, jra, mnz",51,4,0.66,0,0,11:29,0,,,,,,,,,,Nothing_heard_calling,Pssp tadpoles observed
127,2023,3/21/23,NA,NA,3,"jas, jra, mnz",55,4,0.39,0,1,13:45,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
128,2023,3/21/23,NA,NA,3,"jas, jra, mnz",50,4,0.56,0,0,4:00,0,,,,,,,,,,Nothing_heard_calling,RASPH and PSORN tadpoles seen
129,2023,3/21/23,NA,NA,3,"jas, jra, mnz",49,4,1.2,0,3,3:50,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
130,2023,3/21/23,NA,NA,3,"jas, jra, mnz",46,4,0.74,0,0,5:04,0,,,,,,,,,,Acris_gryllus,small unknown tadpoles
131,2023,3/21/23,NA,NA,3,"jas, jra, mnz",42,4,0.37,0,3,3:10,0,,,,,,,,,,Nothing_heard_calling,"No egg masses, no frogs calling."
132,2023,3/23/23,NA,NA,1,jas,46,6,0.72,3,0,6:53,0,,,,,,,,,,Nothing_heard_calling,"PSNIG, PSORN tadpoles"
133,2023,3/23/23,NA,NA,1,jas,49,6,1.2,3,3,9:31,Rana catesbeiana,1,,,,,,,,,Nothing_heard_calling,1 HUGE egg mass. Free floating. Checked recording and only heard bullfrog. Confirmed RACAT.
134,2023,3/23/23,NA,NA,1,jas,51,6,0.66,3,0,18:21,0,,,,,,,,,,Acris_gryllus,"1 adult NEFAS Larvae of PSORN, RASPH, AMTIG"
135,2023,3/23/23,NA,NA,1,jas,53,6,0.29,3,0,15:02,0,,,,,,,,,,Nothing_heard_calling,2 adult NEFAS
136,2023,3/23/23,NA,NA,1,jas,55,6,0.38,1,3,36:15:00,Rana Sphenocephala,1,,,,,,,,,"Acris_gryllus, Pseudacris_nigrita,Rana_sphenocephalus",1 small RASPH egg mass: 4cm. 3 adult nerodia
137,2023,3/23/23,NA,NA,1,jas,50,6,0.44,0,0,8:32,0,,,,,,,,,,Nothing_heard_calling,"1 adult ACGRY and tadpoles of PSORN, PSNIG, RASPH"
138,2023,3/23/23,NA,NA,1,jas,42,6,0.34,3,3,7:49,0,,,,,,,,,,Nothing_heard_calling,"fish, 1 ACGRY adult, 1 juv NEFAS, RASPH tadpoles"
139,2023,3/29/23,NA,NA,1,jas,51,1,0.72,0,0,31:10:00,0,,,,,,,,,,Pseudacris_nigrita,"1000's of small unknown tadpoles(Bufo?) in north pool, 2 NEFAS, RASPH tadpoles"
140,2023,3/29/23,NA,NA,1,jas,53,1,0.37,2,0,14:06,0,,,,,,,,,,Pseudacris_nigrita,"1 FAABA, PSORN tadpoles with legs"
141,2023,3/29/23,NA,NA,1,jas,55,1,0.45,2,1,28:32:00,0,,,,,,,,,,"Acris_gryllus, Pseudacris_nigrita","4 NEFAS, RASPH tadpoles"
142,2023,3/29/23,NA,NA,1,jas,50,1,0.68,2,0,13:48,0,,,,,,,,,,"Acris_gryllus, Pseudacris_nigrita","1 mud turtle, RASPH and PSORN tadpoles"
143,2023,3/29/23,NA,NA,1,jas,49,1,1.2,2,3,8:40,0,,,,,,,,,,Nothing_heard_calling,"6 NEFAS, 3 unkown turtles, 1 RACAT adult"
144,2023,3/29/23,NA,NA,1,jas,46,1,0.8,2,0,16:29,0,,,,,,,,,,Pseudacris_nigrita,PSORN and RASPH tadpoles observed
